day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss
0,0,DIVING_GEAR,99999.0,6.0,99998.0,19.0,,,100001.0,6.0,100002.0,19.0,,,100000.0,0.0
0,100,DIVING_GEAR,99999.0,5.0,99998.0,12.0,,,100001.0,5.0,100002.0,12.0,,,100000.0,0.0
0,200,DIVING_GEAR,100002.0,2.0,100001.0,10.0,100000.0,14.0,100003.0,10.0,100004.0,14.0,,,100002.5,-2.875
0,300,DIVING_GEAR,99999.0,9.0,99998.0,11.0,,,100001.0,9.0,100002.0,11.0,,,100000.0,-1.140625
0,400,DIVING_GEAR,99993.0,19.0,,,,,99996.0,19.0,,,,,99994.5,4.484375
0,500,DIVING_GEAR,99990.0,22.0,,,,,99993.0,22.0,,,,,99991.5,7.3515625
0,600,DIVING_GEAR,99984.0,22.0,,,,,99987.0,22.0,,,,,99985.5,13.609375
0,700,DIVING_GEAR,99985.0,5.0,99984.0,16.0,,,99987.0,5.0,99988.0,16.0,,,99986.0,13.234375
0,800,DIVING_GEAR,99993.0,5.0,99992.0,10.0,,,99995.0,5.0,99996.0,10.0,,,99994.0,4.8046875
0,900,DIVING_GEAR,99990.0,9.0,99989.0,20.0,,,99992.0,9.0,99993.0,20.0,,,99991.0,7.9140625
0,1000,DIVING_GEAR,99986.0,7.0,99985.0,16.0,,,99988.0,7.0,99989.0,16.0,,,99987.0,11.828125
0,1100,DIVING_GEAR,99989.0,23.0,,,,,99991.0,7.0,99992.0,16.0,,,99990.0,8.75
0,1200,DIVING_GEAR,99991.0,18.0,,,,,99994.0,18.0,,,,,99992.5,6.515625
0,1300,DIVING_GEAR,99992.0,10.0,99991.0,14.0,,,99994.0,10.0,99995.0,14.0,,,99993.0,5.859375
0,1400,DIVING_GEAR,99986.0,22.0,,,,,99989.0,22.0,,,,,99987.5,11.7265625
0,1500,DIVING_GEAR,99986.0,5.0,99985.0,18.0,,,99988.0,5.0,99989.0,18.0,,,99987.0,11.921875
0,1600,DIVING_GEAR,99990.0,17.0,,,,,99993.0,17.0,,,,,99991.5,7.546875
0,1700,DIVING_GEAR,99982.0,10.0,99981.0,20.0,,,99984.0,10.0,99985.0,20.0,,,99983.0,16.0234375
0,1800,DIVING_GEAR,99979.0,10.0,99978.0,12.0,,,99981.0,10.0,99982.0,12.0,,,99980.0,18.9140625
0,1900,DIVING_GEAR,99967.0,9.0,99966.0,17.0,,,99969.0,9.0,99970.0,17.0,,,99968.0,30.890625
0,2000,DIVING_GEAR,99959.0,10.0,99958.0,14.0,,,99961.0,10.0,99962.0,14.0,,,99960.0,39.0234375
0,2100,DIVING_GEAR,99947.0,21.0,,,,,99950.0,21.0,,,,,99948.5,50.625
0,2200,DIVING_GEAR,99946.0,6.0,99945.0,15.0,,,99948.0,6.0,99949.0,15.0,,,99947.0,52.1171875
0,2300,DIVING_GEAR,99938.0,6.0,99937.0,18.0,,,99940.0,6.0,99941.0,18.0,,,99939.0,60.1015625
0,2400,DIVING_GEAR,99939.0,20.0,,,,,99942.0,20.0,,,,,99940.5,58.40625
0,2500,DIVING_GEAR,99940.0,22.0,,,,,99943.0,22.0,,,,,99941.5,57.4296875
0,2600,DIVING_GEAR,99939.0,24.0,,,,,99942.0,24.0,,,,,99940.5,58.609375
0,2700,DIVING_GEAR,99923.0,27.0,,,,,99926.0,27.0,,,,,99924.5,74.4609375
0,2800,DIVING_GEAR,99920.0,5.0,99919.0,20.0,,,99922.0,5.0,99923.0,20.0,,,99921.0,77.859375
0,2900,DIVING_GEAR,99920.0,7.0,99919.0,18.0,,,99922.0,7.0,99923.0,18.0,,,99921.0,78.1796875
0,3000,DIVING_GEAR,99920.0,20.0,,,,,99923.0,20.0,,,,,99921.5,77.46875
0,3100,DIVING_GEAR,99911.0,8.0,99910.0,19.0,,,99913.0,8.0,99914.0,19.0,,,99912.0,87.109375
0,3200,DIVING_GEAR,99908.0,7.0,99907.0,12.0,,,99910.0,7.0,99911.0,12.0,,,99909.0,90.125
0,3300,DIVING_GEAR,99901.0,15.0,,,,,99904.0,15.0,,,,,99902.5,96.2890625
0,3400,DIVING_GEAR,99896.0,17.0,,,,,99899.0,17.0,,,,,99897.5,101.390625
0,3500,DIVING_GEAR,99903.0,17.0,,,,,99906.0,17.0,,,,,99904.5,94.71875
0,3600,DIVING_GEAR,99898.0,7.0,99897.0,16.0,,,99900.0,7.0,99901.0,16.0,,,99899.0,99.8125
0,3700,DIVING_GEAR,99898.0,7.0,99897.0,10.0,,,99900.0,7.0,99901.0,10.0,,,99899.0,100.0234375
0,3800,DIVING_GEAR,99903.0,18.0,,,,,99906.0,18.0,,,,,99904.5,94.46875
0,3900,DIVING_GEAR,99900.0,5.0,99899.0,10.0,,,99902.0,5.0,99903.0,10.0,,,99901.0,98.1484375
0,4000,DIVING_GEAR,99899.0,8.0,99898.0,13.0,,,99901.0,8.0,99902.0,13.0,,,99900.0,98.859375
0,4100,DIVING_GEAR,99900.0,6.0,99899.0,19.0,,,99902.0,6.0,99903.0,19.0,,,99901.0,98.171875
0,4200,DIVING_GEAR,99900.0,8.0,99899.0,12.0,,,99902.0,8.0,99903.0,12.0,,,99901.0,97.78125
0,4300,DIVING_GEAR,99892.0,20.0,,,,,99895.0,20.0,,,,,99893.5,105.5
0,4400,DIVING_GEAR,99893.0,8.0,99892.0,18.0,,,99895.0,8.0,99896.0,18.0,,,99894.0,105.03125
0,4500,DIVING_GEAR,99901.0,19.0,,,,,99904.0,19.0,,,,,99902.5,96.484375
0,4600,DIVING_GEAR,99892.0,7.0,99891.0,12.0,,,99894.0,7.0,99895.0,12.0,,,99893.0,106.2265625
0,4700,DIVING_GEAR,99897.0,10.0,99896.0,18.0,,,99899.0,10.0,99900.0,18.0,,,99898.0,100.828125
0,4800,DIVING_GEAR,99898.0,7.0,99897.0,15.0,,,99900.0,7.0,99901.0,15.0,,,99899.0,100.0859375
0,4900,DIVING_GEAR,99894.0,10.0,99893.0,10.0,,,99896.0,10.0,99897.0,10.0,,,99895.0,104.1328125
0,5000,DIVING_GEAR,99906.0,19.0,,,,,99909.0,19.0,,,,,99907.5,91.5546875
0,5100,DIVING_GEAR,99911.0,5.0,99910.0,15.0,,,99913.0,5.0,99914.0,15.0,,,99912.0,86.765625
0,5200,DIVING_GEAR,99903.0,24.0,,,,,99906.0,24.0,,,,,99904.5,94.3203125
0,5300,DIVING_GEAR,99904.0,5.0,99903.0,14.0,,,99906.0,5.0,99907.0,14.0,,,99905.0,93.859375
0,5400,DIVING_GEAR,99908.0,10.0,99907.0,20.0,,,99910.0,10.0,99911.0,20.0,,,99909.0,90.234375
0,5500,DIVING_GEAR,99906.0,27.0,,,,,99909.0,27.0,,,,,99907.5,91.4296875
0,5600,DIVING_GEAR,99912.0,1.0,99911.0,7.0,99910.0,12.0,99913.0,7.0,99914.0,12.0,,,99912.5,87.140625
0,5700,DIVING_GEAR,99910.0,18.0,,,,,99913.0,18.0,,,,,99911.5,87.5703125
0,5800,DIVING_GEAR,99914.0,19.0,,,,,99917.0,19.0,,,,,99915.5,83.3828125
0,5900,DIVING_GEAR,99923.0,26.0,,,,,99926.0,26.0,,,,,99924.5,74.3359375
0,6000,DIVING_GEAR,99919.0,16.0,,,,,99922.0,16.0,,,,,99920.5,78.59375
0,6100,DIVING_GEAR,99920.0,17.0,,,,,99923.0,17.0,,,,,99921.5,77.3203125
0,6200,DIVING_GEAR,99918.0,5.0,99917.0,13.0,,,99920.0,18.0,,,,,99919.0,80.25
0,6300,DIVING_GEAR,99918.0,27.0,,,,,99921.0,27.0,,,,,99919.5,79.453125
0,6400,DIVING_GEAR,99911.0,10.0,99910.0,16.0,,,99913.0,10.0,99914.0,16.0,,,99912.0,86.9375
0,6500,DIVING_GEAR,99907.0,29.0,,,,,99910.0,29.0,,,,,99908.5,90.59375
0,6600,DIVING_GEAR,99906.0,7.0,99905.0,14.0,,,99908.0,7.0,99909.0,14.0,,,99907.0,91.8359375
0,6700,DIVING_GEAR,99912.0,10.0,99911.0,18.0,,,99914.0,10.0,99915.0,18.0,,,99913.0,86.1875
0,6800,DIVING_GEAR,99919.0,9.0,99918.0,17.0,,,99921.0,9.0,99922.0,17.0,,,99920.0,78.984375
0,6900,DIVING_GEAR,99910.0,30.0,,,,,99913.0,30.0,,,,,99911.5,87.328125
0,7000,DIVING_GEAR,99905.0,18.0,,,,,99908.0,18.0,,,,,99906.5,105.0
0,7100,DIVING_GEAR,99909.0,23.0,,,,,99912.0,23.0,,,,,99910.5,92.8125
0,7200,DIVING_GEAR,99897.0,10.0,99896.0,11.0,,,99899.0,10.0,99900.0,11.0,,,99898.0,130.46875
0,7300,DIVING_GEAR,99894.0,25.0,,,,,99897.0,25.0,,,,,99895.5,139.21875
0,7400,DIVING_GEAR,99893.0,19.0,,,,,99896.0,19.0,,,,,99894.5,141.0625
0,7500,DIVING_GEAR,99901.0,20.0,,,,,99904.0,20.0,,,,,99902.5,98.3125
0,7600,DIVING_GEAR,99906.0,7.0,99905.0,10.0,,,99908.0,7.0,99909.0,10.0,,,99907.0,76.65625
0,7700,DIVING_GEAR,99904.0,10.0,99903.0,15.0,,,99906.0,10.0,99907.0,15.0,,,99905.0,86.96875
0,7800,DIVING_GEAR,99901.0,21.0,,,,,99904.0,21.0,,,,,99902.5,98.625
0,7900,DIVING_GEAR,99900.0,8.0,99899.0,15.0,,,99902.0,8.0,99903.0,15.0,,,99901.0,106.5625
0,8000,DIVING_GEAR,99909.0,23.0,,,,,99912.0,23.0,,,,,99910.5,58.65625
0,8100,DIVING_GEAR,99907.0,10.0,99906.0,15.0,,,99909.0,10.0,99910.0,15.0,,,99908.0,72.125
0,8200,DIVING_GEAR,99905.0,6.0,99904.0,11.0,,,99907.0,6.0,99908.0,11.0,,,99906.0,81.75
0,8300,DIVING_GEAR,99907.0,7.0,99906.0,17.0,,,99909.0,7.0,99910.0,17.0,,,99908.0,70.6875
0,8400,DIVING_GEAR,99906.0,26.0,,,,,99909.0,26.0,,,,,99907.5,74.5625
0,8500,DIVING_GEAR,99905.0,8.0,99904.0,11.0,,,99907.0,8.0,99908.0,11.0,,,99906.0,80.6875
0,8600,DIVING_GEAR,99898.0,8.0,99897.0,12.0,,,99900.0,10.0,99901.0,12.0,,,99899.0,127.8125
0,8700,DIVING_GEAR,99898.0,8.0,99897.0,13.0,,,99900.0,8.0,99901.0,13.0,,,99899.0,128.5
0,8800,DIVING_GEAR,99895.0,5.0,99894.0,15.0,,,99897.0,5.0,99898.0,15.0,,,99896.0,153.75
0,8900,DIVING_GEAR,99902.0,16.0,,,,,99905.0,16.0,,,,,99903.5,87.6875
0,9000,DIVING_GEAR,99906.0,16.0,,,,,99909.0,16.0,,,,,99907.5,50.8125
0,9100,DIVING_GEAR,99906.0,25.0,,,,,99909.0,25.0,,,,,99907.5,52.25
0,9200,DIVING_GEAR,99910.0,28.0,,,,,99913.0,28.0,,,,,99911.5,14.5
0,9300,DIVING_GEAR,99908.0,16.0,,,,,99911.0,16.0,,,,,99909.5,33.75
0,9400,DIVING_GEAR,99915.0,9.0,99914.0,15.0,,,99917.0,9.0,99918.0,15.0,,,99916.0,-25.6875
0,9500,DIVING_GEAR,99915.0,6.0,99914.0,14.0,,,99917.0,6.0,99918.0,14.0,,,99916.0,-25.375
0,9600,DIVING_GEAR,99918.0,22.0,,,,,99921.0,22.0,,,,,99919.5,-58.3125
0,9700,DIVING_GEAR,99910.0,23.0,,,,,99913.0,23.0,,,,,99911.5,14.875
0,9800,DIVING_GEAR,99912.0,20.0,,,,,99915.0,20.0,,,,,99913.5,-4.6875
0,9900,DIVING_GEAR,99902.0,9.0,99901.0,13.0,,,99904.0,9.0,99905.0,13.0,,,99903.0,91.0
0,10000,DIVING_GEAR,99889.0,28.0,,,,,99892.0,28.0,,,,,99890.5,206.375
0,10100,DIVING_GEAR,99887.0,20.0,,,,,99890.0,20.0,,,,,99888.5,223.6875
0,10200,DIVING_GEAR,99881.0,20.0,,,,,99884.0,20.0,,,,,99882.5,274.75
0,10300,DIVING_GEAR,99882.0,26.0,,,,,99885.0,26.0,,,,,99883.5,265.5
0,10400,DIVING_GEAR,99897.0,7.0,99896.0,16.0,,,99899.0,7.0,99900.0,16.0,,,99898.0,138.5
0,10500,DIVING_GEAR,99891.0,28.0,,,,,99894.0,28.0,,,,,99892.5,185.625
0,10600,DIVING_GEAR,99887.0,27.0,,,,,99890.0,27.0,,,,,99888.5,226.375
0,10700,DIVING_GEAR,99890.0,1.0,99889.0,9.0,99888.0,14.0,99891.0,9.0,99892.0,14.0,,,99890.5,213.5625
0,10800,DIVING_GEAR,99892.0,6.0,99891.0,18.0,,,99894.0,6.0,99895.0,18.0,,,99893.0,182.625
0,10900,DIVING_GEAR,99891.0,6.0,99890.0,11.0,,,99893.0,6.0,99894.0,11.0,,,99892.0,193.75
0,11000,DIVING_GEAR,99889.0,24.0,,,,,99892.0,24.0,,,,,99890.5,206.8125
0,11100,DIVING_GEAR,99894.0,7.0,99893.0,18.0,,,99896.0,7.0,99897.0,18.0,,,99895.0,162.6875
0,11200,DIVING_GEAR,99897.0,19.0,,,,,99900.0,19.0,,,,,99898.5,130.125
0,11300,DIVING_GEAR,99891.0,10.0,99890.0,10.0,,,99893.0,10.0,99894.0,10.0,,,99892.0,195.1875
0,11400,DIVING_GEAR,99890.0,24.0,,,,,99893.0,24.0,,,,,99891.5,200.25
0,11500,DIVING_GEAR,99890.0,24.0,,,,,99893.0,24.0,,,,,99891.5,198.125
0,11600,DIVING_GEAR,99884.0,9.0,99883.0,12.0,,,99886.0,9.0,99887.0,12.0,,,99885.0,264.5625
0,11700,DIVING_GEAR,99885.0,22.0,,,,,99888.0,22.0,,,,,99886.5,248.3125
0,11800,DIVING_GEAR,99880.0,9.0,99879.0,19.0,,,99882.0,9.0,99883.0,19.0,,,99881.0,302.375
0,11900,DIVING_GEAR,99886.0,10.0,99885.0,17.0,,,99888.0,10.0,99889.0,17.0,,,99887.0,241.25
0,12000,DIVING_GEAR,99887.0,22.0,,,,,99890.0,22.0,,,,,99888.5,229.25
0,12100,DIVING_GEAR,99888.0,6.0,99887.0,18.0,,,99890.0,6.0,99891.0,18.0,,,99889.0,223.6875
0,12200,DIVING_GEAR,99884.0,6.0,99883.0,12.0,,,99886.0,6.0,99887.0,12.0,,,99885.0,261.0
0,12300,DIVING_GEAR,99883.0,24.0,,,,,99886.0,24.0,,,,,99884.5,268.5625
